SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,,Single Family Residential,558 Arkansas St,San Francisco,CA,94107,1500000,,1.0,,1260,2495,1925,,1190,,,,,https://www.redfin.com/CA/San-Francisco/558-Arkansas-St-94107/home/731825,,,N,Y,37.7590995,-122.3983994
PAST SALE,,Multi-Family (2-4 Unit),689 Kansas St,San Francisco,CA,94107,1880000,,3.0,,2298,2495,1907,,818,,,,,https://www.redfin.com/CA/San-Francisco/689-Kansas-St-94107/home/1783965,,,N,Y,37.7611715,-122.4028979
PAST SALE,November-20-2025,Single Family Residential,448 Pennsylvania Ave,San Francisco,CA,94107,2605000,3,2.5,SF District 9,,2500,1900,,,,Sold,,,https://www.redfin.com/CA/San-Francisco/448-Pennsylvania-Ave-94107/home/734267,San Francisco MLS,425076444,N,Y,37.7608014,-122.3937206
PAST SALE,October-1-2025,Single Family Residential,918 Kansas St,San Francisco,CA,94107,3610000,5,3.5,SF District 9,3200,5505,1957,,1128,,Sold,,,https://www.redfin.com/CA/San-Francisco/918-Kansas-St-94107/home/1510540,San Francisco MLS,425072390,N,Y,37.7581063,-122.4032388
PAST SALE,October-16-2025,Single Family Residential,467 Pennsylvania Ave,San Francisco,CA,94107,3160000,4,4.0,SF District 9,3096,2495,1930,,1021,,Sold,,,https://www.redfin.com/CA/San-Francisco/467-Pennsylvania-Ave-94107/home/1231480,San Francisco MLS,425073719,N,Y,37.7606257,-122.3931593
PAST SALE,November-10-2025,Single Family Residential,700 De Haro St,San Francisco,CA,94107,1200000,2,1.0,SF District 9,1015,2252,1951,,1182,,Sold,,,https://www.redfin.com/CA/San-Francisco/700-De-Haro-St-94107/home/1140128,San Francisco MLS,425080882,N,Y,37.7608865,-122.4014723
PAST SALE,September-26-2025,Single Family Residential,653 Arkansas St,San Francisco,CA,94107,3900000,4,3.5,SF District 9,2731,2500,1914,,1428,,Sold,,,https://www.redfin.com/CA/San-Francisco/653-Arkansas-St-94107/home/732713,San Francisco MLS,425069561,N,Y,37.7580227,-122.3977794
PAST SALE,November-18-2025,Single Family Residential,561 Connecticut St,San Francisco,CA,94107,1700000,5,2.0,SF District 9,2250,2495,1900,,756,,Sold,,,https://www.redfin.com/CA/San-Francisco/561-Connecticut-St-94107/home/732742,MetroList,425080523,N,Y,37.7591874,-122.3969276
PAST SALE,October-31-2025,Single Family Residential,1013 Rhode Island St,San Francisco,CA,94107,1925000,2,2.0,SF District 9,,2495,1907,,,,Sold,,,https://www.redfin.com/CA/San-Francisco/1013-Rhode-Island-St-94107/home/1613553,San Francisco MLS,425074078,N,Y,37.7565311,-122.4015741
PAST SALE,October-14-2025,Single Family Residential,2018 23rd St,San Francisco,CA,94107,1100000,2,1.0,SAN FRANCISCO,1060,2495,1928,,1038,,Sold,,,https://www.redfin.com/CA/San-Francisco/2018-23rd-St-94107/home/1821146,MLSListings,ML82020975,N,Y,37.7548245,-122.4001459
PAST SALE,,Single Family Residential,760 Wisconsin St,San Francisco,CA,94107,1675000,,1.0,,2148,3746,1905,,780,,,,,https://www.redfin.com/CA/San-Francisco/760-Wisconsin-St-94107/home/732189,,,N,Y,37.7578575,-122.3993173
