SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,,Single Family Residential,650 Loma Verde Ave,Palo Alto,CA,94306,2125000,2,1.0,,946,6181,1950,,2246,,,,,https://www.redfin.com/CA/Palo-Alto/650-Loma-Verde-Ave-94306/home/95955095,,,N,Y,37.4283479,-122.1233938
PAST SALE,,Single Family Residential,1015 Los Robles Ave,Palo Alto,CA,94306,4650000,5,2.0,,2539,16560,1948,,1831,,,,,https://www.redfin.com/CA/Palo-Alto/1015-Los-Robles-Ave-94306/home/1462460,,,N,Y,37.406416,-122.1336645
PAST SALE,November-4-2025,Single Family Residential,772 Paul Ave,Palo Alto,CA,94306,3200000,3,2.0,Barron Park,1318,8700,1948,,2428,,Sold,,,https://www.redfin.com/CA/Palo-Alto/772-Paul-Ave-94306/home/1426648,San Francisco MLS,425080328,N,Y,37.4128043,-122.1341514
PAST SALE,November-3-2025,Condo/Co-op,4250 El Camino Real Unit D234,Palo Alto,CA,94306,660000,1,1.0,Not Listed,679,679,1983,,972,834,Sold,,,https://www.redfin.com/CA/Palo-Alto/4250-El-Camino-Real-94306/unit-D234/home/1187214,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41113785,N,Y,37.406286,-122.122534
PAST SALE,September-22-2025,Single Family Residential,3618 Laguna Ave,Palo Alto,CA,94306,6400000,6,5.5,PALO ALTO,3719,11253,2025,,1721,,Sold,,,https://www.redfin.com/CA/Palo-Alto/3618-Laguna-Ave-94306/home/604046,MLSListings,ML82021045,N,Y,37.410664,-122.1384341
PAST SALE,November-14-2025,Single Family Residential,339 El Verano Ave,Palo Alto,CA,94306,3300000,3,2.0,PALO ALTO,1445,7500,1953,,2284,,Sold,,,https://www.redfin.com/CA/Palo-Alto/339-El-Verano-Ave-94306/home/1274157,MLSListings,ML82026286,N,Y,37.4232795,-122.1253749
PAST SALE,October-22-2025,Single Family Residential,3941 Duncan Pl,Palo Alto,CA,94306,3550000,4,3.0,PALO ALTO,1795,7840,1953,,1978,,Sold,,,https://www.redfin.com/CA/Palo-Alto/3941-Duncan-Pl-94306/home/607628,MLSListings,ML82016390,N,Y,37.416426994,-122.1134629
PAST SALE,October-8-2025,Single Family Residential,176 Ferne Ct,Palo Alto,CA,94306,3758000,3,2.0,PALO ALTO,1507,7755,1962,,2494,,Sold,,,https://www.redfin.com/CA/Palo-Alto/176-Ferne-Ct-94306/home/1524281,MLSListings,ML82021169,N,Y,37.4109792,-122.1096471
PAST SALE,November-21-2025,Single Family Residential,590 Ashton Ave,Palo Alto,CA,94306,4550000,4,2.5,PALO ALTO,2394,6084,1991,,1901,,Sold,,,https://www.redfin.com/CA/Palo-Alto/590-Ashton-Ave-94306/home/601173,MLSListings,ML82026259,N,Y,37.424861,-122.1193626
