SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,,Single Family Residential,1307 Lerida Way,Pacifica,CA,94044,1175000,4,2.0,,1510,5000,1964,,778,,,,,https://www.redfin.com/CA/Pacifica/1307-Lerida-Way-94044/home/2052070,,,N,Y,37.5908974,-122.4799969
PAST SALE,October-24-2025,Condo/Co-op,813 Fassler Ave,Pacifica,CA,94044,1450000,2,2.5,PACIFICA,1253,,2025,,1157,419,Sold,,,https://www.redfin.com/CA/Pacifica/813-Fassler-Ave-94044/home/198787449,MLSListings,ML82025864,N,Y,37.6027668,-122.4912242
PAST SALE,September-5-2025,Single Family Residential,324 Glencourt Way,Pacifica,CA,94044,875000,4,2.0,PACIFICA,1220,5000,1955,,717,,Sold,,,https://www.redfin.com/CA/Pacifica/324-Glencourt-Way-94044/home/1842318,MLSListings,ML82018021,N,Y,37.6491847,-122.4731741
PAST SALE,November-3-2025,Single Family Residential,1300 Oddstad Blvd,Pacifica,CA,94044,1640000,4,3.0,PACIFICA,2066,7000,1973,,794,,Sold,,,https://www.redfin.com/CA/Pacifica/1300-Oddstad-Blvd-94044/home/1467552,MLSListings,ML82023620,N,Y,37.5954066,-122.4633627
PAST SALE,September-26-2025,Single Family Residential,731 Rockaway Beach Ave,Pacifica,CA,94044,1625000,3,2.0,PACIFICA,1680,5000,1964,,967,,Sold,,,https://www.redfin.com/CA/Pacifica/731-Rockaway-Beach-Ave-94044/home/2054926,MLSListings,ML82018995,N,Y,37.6041943,-122.4884989
PAST SALE,November-14-2025,Single Family Residential,487 Brighton Rd,Pacifica,CA,94044,1225000,3,1.0,PACIFICA,960,4698,1957,,1276,,Sold,,,https://www.redfin.com/CA/Pacifica/487-Brighton-Rd-94044/home/1367846,MLSListings,ML82023999,N,Y,37.6309271,-122.4845767
PAST SALE,September-18-2025,Single Family Residential,552 Heathcliff Dr,Pacifica,CA,94044,1350000,3,1.0,PACIFICA,1000,6169,1958,,1350,,Sold,,,https://www.redfin.com/CA/Pacifica/552-Heathcliff-Dr-94044/home/1970683,MLSListings,ML82018368,N,Y,37.6462386,-122.4749994
PAST SALE,September-25-2025,Single Family Residential,647 Canyon Dr,Pacifica,CA,94044,1700000,4,3.0,PACIFICA,2070,5281,1946,,821,,Sold,,,https://www.redfin.com/CA/Pacifica/647-Canyon-Dr-94044/home/618773,MLSListings,ML82018775,N,Y,37.635473,-122.480757
PAST SALE,October-3-2025,Single Family Residential,1451 Perez Dr,Pacifica,CA,94044,1075000,3,1.0,PACIFICA,1040,5546,1955,,1034,,Sold,,,https://www.redfin.com/CA/Pacifica/1451-Perez-Dr-94044/home/2044010,MLSListings,ML82020277,N,Y,37.5803921,-122.4894816
PAST SALE,November-25-2025,Single Family Residential,1191 Alicante Dr,Pacifica,CA,94044,1091000,3,2.0,Linda Mar,1500,11776,1962,,727,,Sold,,,https://www.redfin.com/CA/Pacifica/1191-Alicante-Dr-94044/home/1503594,San Francisco MLS,425082987,N,Y,37.5837767,-122.4775255
PAST SALE,October-10-2025,Single Family Residential,269 Beachview Ave,Pacifica,CA,94044,1100000,3,1.0,PACIFICA,1110,4000,1964,,991,39,Sold,,,https://www.redfin.com/CA/Pacifica/269-Beachview-Ave-94044/home/589478,MLSListings,ML82022325,N,Y,37.6546036,-122.4820764
