SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,,Single Family Residential,626 Los Ninos Way,Los Altos,CA,94022,5850000,4,3.5,,3126,10200,1950,,1871,,,,,https://www.redfin.com/CA/Los-Altos/626-Los-Ninos-Way-94022/home/1705503,,,N,Y,37.3928056,-122.1072877
PAST SALE,November-14-2025,Single Family Residential,447 Traverso Ave,Los Altos,CA,94022,5250000,4,2.5,LOS ALTOS,2166,9922,1953,,2424,,Sold,,,https://www.redfin.com/CA/Los-Altos/447-Traverso-Ave-94022/home/1303242,MLSListings,ML82027454,N,Y,37.3997633,-122.1240086
PAST SALE,September-16-2025,Single Family Residential,430 San Domingo Way,Los Altos,CA,94022,5500000,4,2.0,LOS ALTOS,2530,10253,1971,,2174,,Sold,,,https://www.redfin.com/CA/Los-Altos/430-San-Domingo-Way-94022/home/1642361,MLSListings,ML82021772,N,Y,37.3900754,-122.1243986
PAST SALE,November-25-2025,Single Family Residential,27420 Deer Springs Way,Los Altos Hills,CA,94022,4500000,5,3.0,Los Altos Hills,3538,111472,1975,,1272,,Sold,,,https://www.redfin.com/CA/Los-Altos-Hills/27420-Deer-Springs-Way-94022/home/1114559,MLSListings,ML82028133,N,Y,37.3566541,-122.1523892
PAST SALE,November-20-2025,Single Family Residential,11860 Francemont Dr,Los Altos Hills,CA,94022,6200000,7,6.0,Los Altos Hills,5565,43560,2006,,1114,,Sold,,,https://www.redfin.com/CA/Los-Altos-Hills/11860-Francemont-Dr-94022/home/1140881,MLSListings,ML82028028,N,Y,37.3526976,-122.1395462
PAST SALE,September-16-2025,Condo/Co-op,20 Bay Tree Ln,Los Altos,CA,94022,3250000,2,2.0,LOS ALTOS,1840,2704,1972,,1766,1452,Sold,,,https://www.redfin.com/CA/Los-Altos/20-Bay-Tree-Ln-94022/home/1629996,MLSListings,ML82020255,N,Y,37.366437,-122.116056
PAST SALE,September-10-2025,Condo/Co-op,31 Deep Well Ln,Los Altos,CA,94022,3725000,2,2.0,LOS ALTOS,2235,,1972,,1667,1452,Sold,,,https://www.redfin.com/CA/Los-Altos/31-Deep-Well-Ln-94022/home/1303435,MLSListings,ML82020792,N,Y,37.366648,-122.117397
PAST SALE,September-5-2025,Townhouse,124 2nd St #5,Los Altos,CA,94022,2600000,3,2.5,LOS ALTOS,1561,3101,2002,,1666,1311,Sold,,,https://www.redfin.com/CA/Los-Altos/124-2nd-St-94022/unit-5/home/1207373,MLSListings,ML82015827,N,Y,37.3800354,-122.118221
PAST SALE,October-23-2025,Single Family Residential,705 University Ave,Los Altos,CA,94022,4450000,3,3.5,LOS ALTOS,2396,6600,2002,,1857,,Sold,,,https://www.redfin.com/CA/Los-Altos/705-University-Ave-94022/home/638145,MLSListings,ML82023234,N,Y,37.3707465,-122.1161396
PAST SALE,September-29-2025,Condo/Co-op,450 First St #308,Los Altos,CA,94022,2899000,2,2.5,LOS ALTOS,1487,,2024,,1950,698,Sold,,,https://www.redfin.com/CA/Los-Altos/450-1st-St-94022/unit-308/home/197860265,MLSListings,ML82022408,N,Y,37.3745424,-122.1154099
PAST SALE,September-11-2025,Single Family Residential,673 Orange Ave,Los Altos,CA,94022,3200000,3,2.0,LOS ALTOS,1400,6000,1925,,2286,,Sold,,,https://www.redfin.com/CA/Los-Altos/673-Orange-Ave-94022/home/1340140,MLSListings,ML82018821,N,Y,37.3712858,-122.1151341
PAST SALE,December-1-2025,Single Family Residential,665 Belden Ct,Los Altos,CA,94022,4450000,4,2.5,LOS ALTOS,2904,9260,1952,,1532,,Sold,,,https://www.redfin.com/CA/Los-Altos/665-Belden-Ct-94022/home/632389,MLSListings,ML82026290,N,Y,37.3932237,-122.1153192
PAST SALE,September-22-2025,Single Family Residential,743 Santa Rita Ave,Los Altos,CA,94022,4900000,3,2.5,LOS ALTOS,1962,11200,1949,,2497,,Sold,,,https://www.redfin.com/CA/Los-Altos/743-Santa-Rita-Ave-94022/home/547664,MLSListings,ML82020234,N,Y,37.3951935,-122.1221776
PAST SALE,October-14-2025,Single Family Residential,61 Sylvian Way,Los Altos,CA,94022,4705000,3,1.5,LOS ALTOS,1171,12000,1939,,4018,,Sold,,,https://www.redfin.com/CA/Los-Altos/61-Sylvian-Way-94022/home/632186,MLSListings,ML82018813,N,Y,37.387016,-122.1156236
PAST SALE,October-14-2025,Single Family Residential,40 Cielito Dr,Los Altos,CA,94022,6720000,5,3.5,LOS ALTOS,4276,14810,1993,,1572,,Sold,,,https://www.redfin.com/CA/Los-Altos/40-Cielito-Dr-94022/home/635785,MLSListings,ML82022820,N,Y,37.3821199,-122.1111096
PAST SALE,October-8-2025,Single Family Residential,130 Garland Way,Los Altos,CA,94022,6678000,5,2.5,LOS ALTOS,2452,20900,1948,,2723,,Sold,,,https://www.redfin.com/CA/Los-Altos/130-Garland-Way-94022/home/1392092,MLSListings,ML82022021,N,Y,37.3838451,-122.1160735
PAST SALE,September-12-2025,Single Family Residential,14228 Amherst Ct,Los Altos Hills,CA,94022,5950000,5,4.0,LOS ALTOS HILLS,3234,39562,1963,,1840,,Sold,,,https://www.redfin.com/CA/Los-Altos-Hills/14228-Amherst-Ct-94022/home/768914,MLSListings,ML82018105,N,Y,37.3871709,-122.1651587
PAST SALE,September-19-2025,Single Family Residential,26545 Purissima Rd,Los Altos Hills,CA,94022,8160000,5,4.5,LOS ALTOS HILLS,3773,44145,1955,,2163,,Sold,,,https://www.redfin.com/CA/Los-Altos-Hills/26545-Purissima-Rd-94022/home/637204,MLSListings,ML82018820,N,Y,37.3707293,-122.1382674
PAST SALE,November-10-2025,Single Family Residential,35 Alma Ct,Los Altos,CA,94022,5200000,3,2.5,LOS ALTOS,2096,10780,1958,,2481,,Sold,,,https://www.redfin.com/CA/Los-Altos/35-Alma-Ct-94022/home/1854942,MLSListings,ML82024318,N,Y,37.3915916,-122.116251
PAST SALE,November-20-2025,Single Family Residential,614 Palm Ave,Los Altos,CA,94022,4550000,4,2.0,LOS ALTOS,1924,7471,1974,,2365,,Sold,,,https://www.redfin.com/CA/Los-Altos/614-Palm-Ave-94022/home/1667429,MLSListings,ML82026238,N,Y,37.3720851,-122.1152748
PAST SALE,November-3-2025,Single Family Residential,599 University Ave,Los Altos,CA,94022,3660000,3,2.0,LOS ALTOS,1592,6650,1949,,2299,,Sold,,,https://www.redfin.com/CA/Los-Altos/599-University-Ave-94022/home/547710,MLSListings,ML82022803,N,Y,37.3723356,-122.1172782
PAST SALE,November-6-2025,Single Family Residential,12130 Foothill Ln,Los Altos Hills,CA,94022,4457000,4,2.5,LOS ALTOS HILLS,2489,46278,1961,,1791,,Sold,,,https://www.redfin.com/CA/Los-Altos-Hills/12130-Foothill-Ln-94022/home/1164758,MLSListings,ML82024851,N,Y,37.3680466,-122.1474432
PAST SALE,October-17-2025,Single Family Residential,376 Alicia Way,Los Altos,CA,94022,3900000,3,2.0,LOS ALTOS,1666,10224,1953,,2341,,Sold,,,https://www.redfin.com/CA/Los-Altos/376-Alicia-Way-94022/home/1627985,MLSListings,ML82022013,N,Y,37.3882855,-122.1070437
