SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,September-19-2025,Single Family Residential,1161 S Stelling Rd,Cupertino,CA,95014,2600000,3,2.0,CUPERTINO,1190,6000,1960,,2185,,Sold,,,https://www.redfin.com/CA/Cupertino/1161-S-Stelling-Rd-95014/home/1740317,MLSListings,ML82013235,N,Y,37.3036247,-122.04176
PAST SALE,October-8-2025,Single Family Residential,19701 Bixby Dr,Cupertino,CA,95014,3520000,4,3.0,CUPERTINO,2340,9700,1967,,1504,,Sold,,,https://www.redfin.com/CA/Cupertino/19701-Bixby-Dr-95014/home/917478,MLSListings,ML82020793,N,Y,37.3213208,-122.0174366
PAST SALE,November-18-2025,Single Family Residential,22338 Regnart Rd,Cupertino,CA,95014,4660000,4,3.0,CUPERTINO,4436,116862,1986,,1050,63,Sold,,,https://www.redfin.com/CA/Cupertino/22338-Regnart-Rd-95014/home/1847775,MLSListings,ML82023265,N,Y,37.2950238,-122.0653628
PAST SALE,October-20-2025,Single Family Residential,22645 San Juan Rd,Cupertino,CA,95014,2700000,2,1.0,CUPERTINO,1042,10660,1937,,2591,,Sold,,,https://www.redfin.com/CA/Cupertino/22645-San-Juan-Rd-95014/home/778530,MLSListings,ML82023644,N,Y,37.3118433,-122.0711466
PAST SALE,October-24-2025,Single Family Residential,7438 Stanford Pl,Cupertino,CA,95014,2900000,3,2.0,CUPERTINO,1190,5994,1960,,2437,,Sold,,,https://www.redfin.com/CA/Cupertino/7438-Stanford-Pl-95014/home/1614187,MLSListings,ML82023734,N,Y,37.3067598,-122.035776
PAST SALE,September-19-2025,Single Family Residential,11108 Sutherland Ave,Cupertino,CA,95014,3700000,4,2.5,CUPERTINO,2055,7600,1968,,1800,,Sold,,,https://www.redfin.com/CA/Cupertino/11108-Sutherland-Ave-95014/home/945568,MLSListings,ML82018095,N,Y,37.3069814,-122.0536279
PAST SALE,November-25-2025,Single Family Residential,10193 Miner Pl,Cupertino,CA,95014,4167000,5,3.0,CUPERTINO,2778,6498,1977,,1500,,Sold,,,https://www.redfin.com/CA/Cupertino/10193-Miner-Pl-95014/home/1700224,MLSListings,ML82025433,N,Y,37.3257692,-122.0307786
PAST SALE,September-16-2025,Townhouse,10178 Ridgeway Dr,Cupertino,CA,95014,2000000,4,2.5,CUPERTINO,1936,1849,1974,,1033,440,Sold,,,https://www.redfin.com/CA/Cupertino/10178-Ridgeway-Dr-95014/home/917165,MLSListings,ML82018631,N,Y,37.320587,-122.0765443
PAST SALE,September-8-2025,Single Family Residential,7558 Rainbow Dr,Cupertino,CA,95014,2673000,4,2.0,CUPERTINO,1404,6000,1958,,1904,,Sold,,,https://www.redfin.com/CA/Cupertino/7558-Rainbow-Dr-95014/home/784622,MLSListings,ML82017862,N,Y,37.300409,-122.037458
PAST SALE,September-3-2025,Townhouse,20173 Northcrest Sq,Cupertino,CA,95014,1228000,2,2.0,CUPERTINO,1060,1283,1973,,1158,667,Sold,,,https://www.redfin.com/CA/Cupertino/20173-Northcrest-Sq-95014/home/1683486,MLSListings,ML82018542,N,Y,37.3364737,-122.0247831
PAST SALE,October-28-2025,Single Family Residential,10546 Merriman Rd,Cupertino,CA,95014,3000000,4,2.5,CUPERTINO,2205,6237,1978,,1361,,Sold,,,https://www.redfin.com/CA/Cupertino/10546-Merriman-Rd-95014/home/1790225,MLSListings,ML82023757,N,Y,37.3151526,-122.0694714
PAST SALE,October-6-2025,Single Family Residential,10108 Crescent Ct,Cupertino,CA,95014,5000000,5,4.0,CUPERTINO,3919,13175,2009,,1276,,Sold,,,https://www.redfin.com/CA/Cupertino/10108-Crescent-Ct-95014/home/18975289,MLSListings,ML82004720,N,Y,37.3238654,-122.0619696
PAST SALE,September-23-2025,Single Family Residential,939 S Tantau Ave,Cupertino,CA,95014,2412000,4,2.0,CUPERTINO,1432,6300,1960,,1684,,Sold,,,https://www.redfin.com/CA/Cupertino/939-S-Tantau-Ave-95014/home/1183845,MLSListings,ML82018334,N,Y,37.3120803,-122.0079949
PAST SALE,October-8-2025,Townhouse,22035 Mcclellan Rd,Cupertino,CA,95014,1930000,3,2.5,CUPERTINO,1404,2142,1974,,1375,770,Sold,,,https://www.redfin.com/CA/Cupertino/22035-McClellan-Rd-95014/home/983693,MLSListings,ML82021142,N,Y,37.3147194,-122.0596542
PAST SALE,September-30-2025,Single Family Residential,891 E Estates Dr,Cupertino,CA,95014,4205000,5,3.0,CUPERTINO,2598,6664,2015,,1619,,Sold,,,https://www.redfin.com/CA/Cupertino/891-E-Estates-Dr-95014/home/790207,MLSListings,ML82018998,N,Y,37.3126539,-122.0203346
PAST SALE,,Single Family Residential,902 Sage Ct,Cupertino,CA,95014,4750000,4,4.0,,2735,7140,2024,,1737,,,,,https://www.redfin.com/CA/Cupertino/902-Sage-Ct-95014/home/1369636,,,N,Y,37.3125338,-122.0421844
PAST SALE,November-12-2025,Single Family Residential,10143 Hillcrest Rd,Cupertino,CA,95014,3860000,4,2.5,CUPERTINO,2525,11500,1977,,1529,,Sold,,,https://www.redfin.com/CA/Cupertino/10143-Hillcrest-Rd-95014/home/1297636,MLSListings,ML82024901,N,Y,37.3249053,-122.0657552
PAST SALE,November-12-2025,Single Family Residential,10581 Whitney Way,Cupertino,CA,95014,3450000,3,2.0,CUPERTINO,1838,7380,1965,,1877,,Sold,,,https://www.redfin.com/CA/Cupertino/10581-Whitney-Way-95014/home/1566039,MLSListings,ML82024857,N,Y,37.3145248,-122.0285762
PAST SALE,October-21-2025,Single Family Residential,10021 Carmona Ct,Cupertino,CA,95014,2430000,3,2.5,CUPERTINO,1568,3384,1984,,1550,,Sold,,,https://www.redfin.com/CA/Cupertino/10021-Carmona-Ct-95014/home/1567329,MLSListings,ML82021839,N,Y,37.3224907,-122.0568483
PAST SALE,November-18-2025,Single Family Residential,10390 N Blaney Ave,Cupertino,CA,95014,3330000,3,3.0,CUPERTINO,1711,7644,1962,,1946,,Sold,,,https://www.redfin.com/CA/Cupertino/10390-N-Blaney-Ave-95014/home/1696324,MLSListings,ML82025535,N,Y,37.3286407,-122.0229751
PAST SALE,,Single Family Residential,10526 Sterling Blvd,Cupertino,CA,95014,1000500,5,4.0,,3196,8139,2024,,313,,,,,https://www.redfin.com/CA/Cupertino/10526-Sterling-Blvd-95014/home/795529,,,N,Y,37.3148204,-121.9967225
PAST SALE,September-9-2025,Single Family Residential,815 Betlin Ave,Cupertino,CA,95014,3350000,4,3.0,CUPERTINO,2055,5974,1958,,1630,,Sold,,,https://www.redfin.com/CA/Cupertino/815-Betlin-Ave-95014/home/1178789,MLSListings,ML82017653,N,Y,37.3147533,-122.0225083
PAST SALE,November-25-2025,Single Family Residential,19251 Phil Ln,Cupertino,CA,95014,2438000,3,2.0,CUPERTINO,1032,6100,1954,,2362,,Sold,,,https://www.redfin.com/CA/Cupertino/19251-Phil-Ln-95014/home/1547354,MLSListings,ML82027160,N,Y,37.3163812,-122.0095904
PAST SALE,October-9-2025,Single Family Residential,10800 W Estates Dr,Cupertino,CA,95014,3055000,4,2.0,CUPERTINO,1272,6572,1955,,2402,,Sold,,,https://www.redfin.com/CA/Cupertino/10800-W-Estates-Dr-95014/home/1337049,MLSListings,ML82021070,N,Y,37.3109182,-122.021978
PAST SALE,September-17-2025,Single Family Residential,10211 E Estates Dr,Cupertino,CA,95014,3550000,3,2.0,CUPERTINO,1662,7420,1959,,2136,,Sold,,,https://www.redfin.com/CA/Cupertino/10211-E-Estates-Dr-95014/home/1726496,MLSListings,ML82018586,N,Y,37.320243,-122.0162153
PAST SALE,October-7-2025,Condo/Co-op,20488 Stevens Creek Blvd #1118,Cupertino,CA,95014,800000,1,1.0,CUPERTINO,816,,2003,,980,652,Sold,,,https://www.redfin.com/CA/Cupertino/20488-Stevens-Creek-Blvd-95014/unit-1118/home/1250491,MLSListings,ML82017617,N,Y,37.322449,-122.030341
PAST SALE,November-12-2025,Single Family Residential,10350 Mann Dr,Cupertino,CA,95014,3030000,3,2.0,CUPERTINO,1584,11102,1956,,1913,,Sold,,,https://www.redfin.com/CA/Cupertino/10350-Mann-Dr-95014/home/1430935,MLSListings,ML82024398,N,Y,37.3279346,-122.0560291
PAST SALE,November-24-2025,Townhouse,10902 Northfield Sq,Cupertino,CA,95014,1225000,2,2.0,CUPERTINO,1142,,1973,,1073,667,Sold,,,https://www.redfin.com/CA/Cupertino/10902-Northfield-Sq-95014/home/1355067,MLSListings,ML82025489,N,Y,37.335635,-122.024422
